Authors,DOI,Journal,Title,Abstract,IncludeAbstract,Reason,Flag for exclusion,Exclusion reason,Year,Linked records
"Ye, YH; Carrasco, AM; Dong, Y; Sgro, CM; McGraw, EA",10.4269/ajtmh.15-0801,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,The Effect of Temperature on Wolbachia-Mediated Dengue Virus Blocking in Aedes aegypti,"Dengue fever, caused by dengue virus (DENY), is endemic in more than 100 countries. The lack of effective treatment of patients and the suboptimal efficacies of the tetravalent vaccine in trials highlight the urgent need to develop alternative strategies to lessen the burden of dengue fever. Wolbachia pipientis, an obligate intracellular bacterium, is being developed as a biocontrol strategy against dengue because it limits the replication of the DENV in the mosquito vector, Aedes aegypti. However, several recent studies have demonstrated the sensitivity of pathogens, vectors, and their symbionts to temperature. To understand how the tripartite interactions between the mosquito, DENY, and Wolbachia may change under different temperature regimes, we assessed the vector competence and transmission potential of DENV-infected mosquitoes reared at a common laboratory setting of a constant 25 degrees C and at two diurnal temperature settings with mean of 25 degrees C and 28 degrees C and a fluctuating range of 8 degrees C (+/- 4 degrees C). Temperature significantly affected DENV infection rate in the mosquitoes. Furthermore, temperature significantly influenced the proportion of mosquitoes that achieved transmission potential as measured by the presence of virus in the saliva. Regardless of the temperature regimes, Wolbachia significantly and efficiently reduced the proportion of mosquitoes achieving infection and transmission potential across all the temperature regimes studied. This work reinforces the robustness of the Wolbachia biocontrol strategy to field conditions in Cairns, Australia, and suggests that similar studies are required for local mosquito genotypes and field relevant temperatures for emerging field release sites globally.",M,Confounding treatments ,,,2016,360
"Aliota, MT; Walker, EC; Yepes, AU; Velez, ID; Christensen, BM; Osorio, JE",10.1371/journal.pntd.0004677,PLOS NEGLECTED TROPICAL DISEASES,The wMel Strain of Wolbachia Reduces Transmission of Chikungunya Virus in Aedes aegypti,"Background New approaches to preventing chikungunya virus (CHIKV) are needed because current methods are limited to controlling mosquito populations, and they have not prevented the invasion of this virus into new locales, nor have they been sufficient to control the virus upon arrival. A promising candidate for arbovirus control and prevention relies on the introduction of the intracellular bacterium Wolbachia into Aedes aegypti mosquitoes. This primarily has been proposed as a tool to control dengue virus (DENV) transmission; however, evidence suggests Wolbachia infections confer protection for Ae. aegypti against CHIKV. Although this approach holds much promise for limiting virus transmission, at present our understanding of the ability of CHIKV to infect, disseminate, and be transmitted by wMel-infected Ae. aegypti currently being used at Wolbachia release sites is limited. Methodology/Principal Findings Using Ae. aegypti infected with the wMel strain of Wolbachia that are being released in Medellin, Colombia, we report that these mosquitoes have reduced vector competence for CHIKV, even with extremely high viral titers in the bloodmeal. In addition, we examined the dynamics of CHIKV infection over the course of four to seven days post feeding. Wolbachia-infected mosquitoes remained non-infective over the duration of seven days, i. e., no infectious virus was detected in the saliva when exposed to bloodmeals of moderate viremia, but CHIKV-exposed, wild type mosquitoes did have viral loads in the saliva consistent with what has been reported elsewhere. Finally, the presence of wMel infection had no impact on the life-span of mosquitoes as compared to wild type mosquitoes following CHIKV infection. Conclusions/Significance These results could have an impact on vector control strategies in areas where Ae. aegypti are transmitting both DENV and CHIKV; i. e., they argue for further exploration, both in the laboratory and the field, on the feasibility of expanding this technology beyond DENV.",M,Confounding treatments ,,,2016,"361,362"
"Mansor, SM; Ummu, HA; Lacroix, R; Angamuthu, C; Ravindran, T; Vasan, SS; Devi, SS; Lee, HL; Murad, S; Nam, WS; Alphey, L; Nazni, WA",,TROPICAL BIOMEDICINE,Similar vertical transmission rates of dengue and chikungunya viruses in a transgenic and a non-transformed Aedes aegypti (L.) laboratory strain,"The increase of the burden of dengue and chikungunya and the relative failure of traditional vector control strategies have highlighted the need to develop new control methods. RIDL-SIT, a vector control method based on the release of engineered male mosquitoes, has shown promising results from field trials conducted in the Cayman Islands and Brazil. In large scale use, a small proportion of females might be released along with the males. Such females are potential virus vectors; here we investigate the vertical transmission of dengue and chikungunya of homozygous OX513A females. We provided females of OX513A-My1 and a wild type comparator strain with blood meals artificially infected with dengue serotype 1, 2, 3, 4 or chikungunya viruses. For 14 days post-feeding, eggs laid by females were collected. Larvae and their mothers were first tested by qRT-PCR, then by inoculation on cell cultures to search for infectious viral particles. We found no significant difference between the minimum infection rate of OX513A-My1 and wild type females. We also discussed the potential number of females being released, a fraction of the female wild population. Consequently, we conclude that there are no evidence that OX513A-My females, if released into the environment, would cause more harm than their wild counterparts.",M,Other study aim,,,2016,"363,364,365"
"Fortuna, C; Remoli, ME; Severini, F; Di Luca, M; Toma, L; Fois, F; Bucci, P; Boccolini, D; Romi, R; Ciufolini, MG",10.1111/mve.12133,MEDICAL AND VETERINARY ENTOMOLOGY,Evaluation of vector competence for West Nile virus in Italian Stegomyia albopicta (=Aedes albopictus) mosquitoes,"West Nile virus (WNV) is a zoonotic arboviral pathogen transmitted by mosquitoes in a cycle that involves wild birds as reservoir hosts. The virus is responsible for outbreaks of viral encephalitis in humans and horses. In Europe, Culex pipiens (Diptera: Culicidae) is considered to be the main vector of WNV, but other species such as Stegomyia albopicta (=Aedes albopictus) (Diptera: Culicidae) may also act as competent vectors of this virus. Since 2008 human cases of WNV disease have been reported in northeast Italy. In 2011, new areas of southern Italy became involved and a first outbreak of WNV lineage 1 occurred on the island of Sardinia. On the assumption that a potential involvement of St. albopicta in WNV transmission cannot be excluded, and in order to evaluate the competence of this species for the virus, an experimental infection of an St. albopicta laboratory colony, established from mosquitoes collected in Sardinia, was carried out. The results were compared with those obtained in a colony of the main vector Cx. pipiens. The study showed St. albopicta collected on Sardinia to be susceptible to WNV infection, which suggests this Italian mosquito species is able to act as a possible secondary vector, particularly in urban areas where the species reaches high levels of seasonal abundance.",Y,,,,2015,"366,367"
"Diagne, CT; Diallo, D; Faye, O; Ba, Y; Faye, O; Gaye, A; Dia, I; Faye, O; Weaver, SC; Sall, AA; Diallo, M",10.1186/s12879-015-1231-2,BMC INFECTIOUS DISEASES,Potential of selected Senegalese Aedes spp. mosquitoes (Diptera: Culicidae) to transmit Zika virus,"Background: Zika virus (ZIKV; genus Flavivirus, family Flaviviridae) is an emerging virus of medical importance maintained in a zoonotic cycle between arboreal Aedes spp. mosquitoes and nonhuman primates in African and Asian forests. Serological evidence and virus isolations have demonstrated widespread distribution of the virus in Senegal. Several mosquito species have been found naturally infected by ZIKV but little is known about their vector competence. Methods: We assessed the vector competence of Ae. aegypti from Kedougou and Dakar, Ae. unilineatus, Ae. vittatus and Ae. luteocephalus from Kedougou in Senegal for 6 ZIKV strains using experimental oral infection. Fully engorged female mosquitoes were maintained in an environmental chamber set at 27 +/- 1 degrees C and 80 +/- 5 % Relative humidity. At day 5, 10 and 15 days post infection (dpi), individual mosquito saliva, legs/wings and bodies were tested for the presence of ZIKV genome using real time RT-PCR to estimate the infection, dissemination, and transmission rates. Results: All the species tested were infected by all viral strains but only Ae. vittatus and Ae. luteocephalus were potentially capable of transmitting ZIKV after 15 dpi with 20 and 50 % of mosquitoes, respectively, delivering epidemic (HD 78788) and prototype (MR 766) ZIKV strains in saliva. Conclusion: All the species tested here were susceptible to oral infection of ZIKV but only a low proportion of Ae. vittatus and Ae. luteocephalus had the viral genome in their saliva and thus the potential to transmit the virus. Further investigations are needed on the vector competence of other species associated with ZIKV for better understanding of the ecology and epidemiology of this virus in Senegal.",Y,,,,2015,"368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,388,389,390,391,392,393,394"
"Fortuna, C; Remoli, ME; Di Luca, M; Severini, F; Toma, L; Benedetti, E; Bucci, P; Montarsi, F; Minelli, G; Boccolini, D; Romi, R; Ciufolini, MG",10.1186/s13071-015-1067-z,PARASITES & VECTORS,Experimental studies on comparison of the vector competence of four Italian Culex pipiens populations for West Nile virus,"Background: West Nile virus (WNV) is a vector-borne disease responsible for causing epidemics in many areas of the world. The virus is maintained in nature by an enzootic bird-mosquito-bird cycle and occasionally transmitted to other hosts, such as equines and humans. Culex species, in particular the ubiquitous species Culex pipiens is thought to play a major vector role both in enzootic and epizootic maintenance and transmission of WNV. Introduced in Europe in recent years, since 2008 WNV has been stably circulating mainly in the Northeastern regions of Italy, although sporadic equine and/or human cases, as well as WNV infected Cx. pipiens pools, have been recorded in other Italian areas. The scope of our study was to evaluate the potential competence of some Italian populations of Cx. pipiens to transmit WNV and to assess their ability for vertical transmission of the virus. For this purpose four Italian populations, from different areas, were experimentally infected. Methods: After the infectious blood meal, fed females were monitored for 32 days to determine the length of viral extrinsic incubation period. WNV titre of infected mosquitoes was evaluated both by quantitative Real Time PCR and viral titration by Plaque Forming Units/ml (PFU/mL) in VERO cells. Potential Infection, Dissemination, Transmission rates (IR, DR, TR) were assessed by detection of the virus in body, legs plus wings and saliva of the fed females, respectively. Results: All tested populations were susceptible to the WNV infection. The viral presence in legs and wings demonstrated the ability of WNV to disseminate in the mosquitoes. Viral RNA was detected in the saliva of tested populations. No significant differences in TR values were observed among the four studied populations. The offspring of the Cx. pipiens infected females were WNV negative. Conclusions: Our study addressed an important issue in the knowledge on the complex WNV-vector relationships in Italy, indicating that all Italian Cx. pipiens populations tested exhibited vector competence for WNV. Further studies should be performed in order to better clarify the role of other factors (vector density, climatic conditions, reservoir presence etc.) in order to predict where and when WNV outbreaks could occur.",Y,,,,2015,395
"Sudeep, AB; Mandar, P; Ghodke, YK; George, RP; Gokhale, MD",,JOURNAL OF VECTOR BORNE DISEASES,Vector competence of two Indian populations of Culex quinquefasciatus (Diptera: Culicidae) mosquitoes to three West Nile virus strains,"Background objectives: Culex quinquefasciatus is one of the principal vectors of West Nile virus (WNV). The mosquito also acts as a bridge vector as it feeds on both birds and humans. In the background of the recent reports of WNV activity in Kerala and Assam with fatalities, a study was initiated to determine the growth kinetics and transmission mechanisms of three strains of WNV in two populations of Cx. quinquefasciatus. Methods: Mosquitoes were infected by oral feeding and growth on different post-infection days was determined with the three strains. Horizontal transmission was determined by confirming sickness and mortality in infant mice after infected mosquito bite. F1 generation eggs, larvae, pupae and adults of experimentally infected mosquitoes were screened for WNV to determine vertical (transovarial) transmission. Trans-stadial transmission was determined by detecting WNV in adult mosquitoes emerged from infected larvae. Results: Both the mosquito populations replicated and maintained WNV for a prolonged period with high titers (>= 5log10 PFU/ml). WNV could be detected in saliva from Days 2 to 32 post-infection. Horizontal transmission by both the populations could be established but no vertical transmission was observed. However, parenterally infected larvae transmitted WNV to adults. Interpretation conclusion: WNV has been isolated from > 10 mosquito species from India, however, vector competence of none of the species has been studied. The present study demonstrates efficient transmission of WNV by Cx. quinquefasciatus mosquitoes. With its country wide prevalence and high vector competence, the mosquitoes could create grave consequences especially when virulent strains with potential to cause acute flaccid paralysis and death are circulating.",Y,,,,2015,"396,397,398"
"Turell, MJ; Britch, SC; Aldridge, RL; Xue, RD; Smith, ML; Cohnstaedt, LW; Linthicum, KJ",10.1093/jme/tjv093,JOURNAL OF MEDICAL ENTOMOLOGY,Potential for Psorophora columbiae and Psorophora ciliata Mosquitoes (Diptera: Culicidae) to Transmit Rift Valley Fever Virus,"Rift Valley fever virus (RVFV) continues to pose a threat to much of the world. Unlike many arboviruses, numerous mosquito species have been associated with RVFV in nature, and many species have been demonstrated as competent vectors in the laboratory. In this study, we evaluated two field-collected Psorophora species, Psorophora columbiae (Dyar and Knab) and Psorophora ciliata (F.) for their potential to transmit RVFV in North America. Both species were susceptible to infection after feeding on a hamster with a viremia of 10(7) plaque-forming units/ml, with infection rates of 65 and 83% for Ps. columbiae and Ps. ciliata, respectively (with nearly all specimens becoming infected when feeding on a hamster with a higher viremia). However, both species had a significant salivary gland barrier, as only 2/35 Ps. columbiae and 0/3 Ps. ciliata with a disseminated infection transmitted virus by bite. Despite the presence of the salivary gland barrier, due to the very high population that can occur and its propensity to feed on large mammals, Ps. columbiae might play a role in amplifying RVFV should that virus be introduced into an area where this species is common.",Y,,,,2015,"399,400"
"Harris, MC; Yang, F; Jackson, DM; Dotseth, EJ; Paulson, SL; Hawley, DM",10.4269/ajtmh.14-0128,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,La Crosse Virus Field Detection and Vector Competence of Culex Mosquitoes,"La Crosse virus (LACV), a leading cause of arboviral pediatric encephalitis in the United States, is emerging in Appalachia. Here, we report field and laboratory evidence that suggest LACV may be using Culex mosquitoes as additional vectors in this region. This bunyavirus was detected by reverse-transcriptase polymerase chain reaction in two pools of Culex mosquitoes in southwestern Virginia and in six pools in West Virginia. To assess vector competence, we offered LACV blood meals to field-collected Culex restuans Theobald, Cx. pipiens L., and Aedes triseriatus (Say). Both Culex species were susceptible to infection. LACV-positive salivary expectorate, indicative of the ability to transmit, was detected in a small proportion of Cx. restuans (9%) and Cx. pipiens (4%) compared with Ae. triseriatus (40%). In a companion study of Cx. restuans only, we found that adults derived from nutritionally stressed larvae were significantly more likely to disseminate and transmit LACV. Our results indicate a potential role of Culex spp. in LACV dynamics that should be explored further in endemic areas.",Y,,,,2015,"401,402,403"
"Manley, R; Harrup, LE; Veronesi, E; Stubbins, F; Stoner, J; Gubbins, S; Wilson, A; Batten, C; Koenraadt, CJM; Henstock, M; Barber, J; Carpenter, S",10.1371/journal.pone.0134453,PLOS ONE,Testing of UK Populations of Culex pipiens L. for Schmallenberg Virus Vector Competence and Their Colonization,"Background Schmallenberg virus (SBV), an arboviral pathogen of ruminants, emerged in northern Europe during 2011 and has subsequently spread across a vast geographic area. While Culicoides biting midges (Diptera: Ceratopogonidae) have been identified as a biological transmission agent of SBV, the role of mosquitoes (Diptera: Culicidae) as potential vectors has not been defined beyond small-scale field collections in affected areas. Culex pipiens L. are one of the most widespread mosquitoes in northern Europe; they are present on farms across the region and have previously been implicated as vectors of several other arboviruses. We assessed the ability of three colony lines of Cx. pipiens, originating from geographically diverse field populations, to become fully infected by SBV using semi-quantitative real-time RT-PCR (sqPCR). Findings Two colony lines of Cx. pipiens were created in the UK ('Brookwood' and 'Caldbeck') from field collections of larvae and pupae and characterised using genetic markers. A third strain of Cx. pipiens from CVI Wageningen, The Netherlands, was also screened during experiments. Intrathoracic inoculation of the Brookwood line resulted in infections after 14 days that were characterised by high levels of RNA throughout individuals, but which demonstrated indirect evidence of salivary gland barriers. Feeding of 322 individuals across the three colony lines on a membrane based infection system resulted in no evidence of full dissemination of SBV, although infections did occur in a small proportion of Cx. pipiens from each line. Conclusions/Significance This study established two novel lines of Cx. pipiens mosquitoes of UK origin in the laboratory and subsequently tested their competence for SBV. Schmallenberg virus replication and dissemination was restricted, demonstrating that Cx. pipiens is unlikely to be an epidemiologically important vector of the virus in northern Europe.",Y,,,,2015,"404,405"
"Fros, JJ; Geertsema, C; Vogels, CB; Roosjen, PP; Failloux, AB; Vlak, JM; Koenraadt, CJ; Takken, W; Pijlman, GP",10.1371/journal.pntd.0003956,PLOS NEGLECTED TROPICAL DISEASES,West Nile Virus: High Transmission Rate in North-Western European Mosquitoes Indicates Its Epidemic Potential and Warrants Increased Surveillance,"Background West Nile virus (WNV) is a highly pathogenic flavivirus transmitted by Culex spp. mosquitoes. In North America (NA), lineage 1 WNV caused the largest outbreak of neuroinvasive disease to date, while a novel pathogenic lineage 2 strain circulates in southern Europe. To estimate WNV lineage 2 epidemic potential it is paramount to know if mosquitoes from currently WNV-free areas can support further spread of this epidemic. Methodology/Principal Findings We assessed WNV vector competence of Culex pipiens mosquitoes originating from north-western Europe (NWE) in direct comparison with those from NA. We exposed mosquitoes to infectious blood meals of lineage 1 or 2 WNV and determined the infection and transmission rates. We explored reasons for vector competence differences by comparing intrathoracic injection versus blood meal infection, and we investigated the influence of temperature. We found that NWE mosquitoes are highly competent for both WNV lineages, with transmission rates up to 25%. Compared to NA mosquitoes, transmission rates for lineage 2 WNV were significantly elevated in NWE mosquitoes due to better virus dissemination from the midgut and a shorter extrinsic incubation time. WNV infection rates further increased with temperature increase. Conclusions/Significance Our study provides experimental evidence to indicate markedly different risk levels between both continents for lineage 2 WNV transmission and suggests a degree of genotype-genotype specificity in the interaction between virus and vector. Our experiments with varying temperatures explain the current localized WNV activity in southern Europe, yet imply further epidemic spread throughout NWE during periods with favourable climatic conditions. This emphasizes the need for intensified surveillance of virus activity in current WNV disease-free regions and warrants increased awareness in clinics throughout Europe.",Y,,,,2015,406
"Sudeep, AB; Ghodke, YS; George, RP; Ingale, VS; Dhaigude, SD; Gokhale, MD",,JOURNAL OF VECTOR BORNE DISEASES,Vectorial capacity of Culex gelidus (Theobald) mosquitoes to certain viruses of public health importance in India,"Background & objectives: Culex gelidus, a widely prevalent mosquito in India and Southeast Asia region, is an important vector of Japanese encephalitis virus (JEV). Experimental studies have shown its potential to transmit West Nile, Kunjin, Murray Valley encephalitis and Ross River viruses. An attempt was therefore made to study its susceptibility and vector competence to some of the arboviruses of public health importance in India. Methods: Mosquitoes were infected with six viruses, viz. JEV, chikungunya (CHIKV), Chandipura (CHPV), Chittoor (CHITV), Ingwavuma (INGV) and Umbre (UMBV) by intra thoracic inoculation to determine virus susceptibility and vector competence. Growth kinetics of the viruses were studied by determining the titres of inoculated mosquitoes on different days post-infection by titration in Vero E6 cells. Vector competence was studied by detecting the presence of the viruses in saliva of infected mosquitoes. Results: All the six viruses were replicated in Cx. gelidus. JEV, CHPV, CHIKV and CHITV yielded > 5 log(10) TCID50/ml virus while UMBV and INGV yielded approx 4 log(10)TCID(50)/ml virus. JEV, CHIKV and CHITV could be detected in the saliva of the infected mosquitoes, while CHPV, INGV and UMBV could not be detected in the saliva of the infected mosquitoes. Interpretation & conclusion: Replication potential and vector competence of Cx. gelidus to some of the viruses of public health importance in India, viz. JEV, CHIKV, CHITV etc, pose a serious threat to general population, especially in the wake of spurt in its population in certain parts of India.",Y,,,,2015,"407,409,410,411,412,408"
"Bara, J; Rapti, Z; Caceres, CE; Muturi, EJ",10.1371/journal.pone.0126703,PLOS ONE,Effect of Larval Competition on Extrinsic Incubation Period and Vectorial Capacity of Aedes albopictus for Dengue Virus,"Despite the growing awareness that larval competition can influence adult mosquito life history traits including susceptibility to pathogens, the net effect of larval competition on human risk of exposure to mosquito-borne pathogens remains poorly understood. We examined how intraspecific larval competition affects dengue-2 virus (DENV-2) extrinsic incubation period and vectorial capacity of its natural vector Aedes albopictus. Adult Ae. albopictus from low and high-larval density conditions were orally challenged with DENV-2 and then assayed for virus infection and dissemination rates following a 6, 9, or 12-day incubation period using real-time quantitative reverse transcription PCR. We then modeled the effect of larval competition on vectorial capacity using parameter estimates obtained from peer-reviewed field and laboratory studies. Larval competition resulted in significantly longer development times, lower emergence rates, and smaller adults, but did not significantly affect the extrinsic incubation period of DENV-2 in Ae. albopictus. Our vectorial capacity models suggest that the effect of larval competition on adult mosquito longevity likely has a greater influence on vectorial capacity relative to any competition-induced changes in vector competence. Furthermore, we found that large increases in the viral dissemination rate may be necessary to compensate for small competition-induced reductions in daily survivorship. Our results indicate that mosquito populations that experience stress from larval competition are likely to have a reduced vectorial capacity, even when susceptibility to pathogens is enhanced.",M,Confounding treatments ,,,2015,413
"Amuzu, HE; Simmons, CP; McGraw, EA",10.1186/s13071-015-0853-y,PARASITES & VECTORS,Effect of repeat human blood feeding on Wolbachia density and dengue virus infection in Aedes aegypti,"Background: The introduction of the endosymbiotic bacterium, Wolbachia into Aedes aegypti populations is a novel approach to reduce disease transmission. The presence of Wolbachia limits the ability of the mosquito to transmit dengue virus (DENV) and the strength of this effect appears to correlate with Wolbachia densities in the mosquito. There is also some evidence that Wolbachia densities may increase following the consumption of a bloodmeal. Here we have examined whether multiple blood feeds lead to increases in density or associated changes in Wolbachia-mediated blocking of DENV. Methods: The Wolbachia infected Aedes aegypti mosquito line was used for the study. There were three treatment groups; a non-blood fed control, a second group fed once and a third group fed twice on human blood. All groups were orally infected with DENV-2 and then their midguts and salivary glands were dissected 10-11 days post infection. RNA/DNA was simultaneously extracted from each tissue and subsequently used for DENV RNA copies and Wolbachia density quantification, respectively. Results: We found variation between replicate vector competence experiments and no clear evidence that Wolbachia numbers increased in either the salivary glands or remainder of the body with feeding and hence saw no corresponding improvements in DENV blocking. Conclusions: Aedes aegypti are ""sip"" feeders returning often to obtain bloodmeals and hence it is important to assess whether repeat blood feeding improved the efficacy of Wolbachia-based DENV blocking. Our work suggests in the laboratory context when Wolbachia densities are high that repeat feeding does not improve blocking and hence this ability should likely be stable with respect to feeding cycle in the field.",M,Confounding treatments ,,,2015,414
"Mackenzie-Impoinvil, L; Impoinvil, DE; Galbraith, SE; Dillon, RJ; Ranson, H; Johnson, N; Fooks, AR; Solomon, T; Baylis, M",10.1111/mve.12083,MEDICAL AND VETERINARY ENTOMOLOGY,"Evaluation of a temperate climate mosquito, Ochlerotatus detritus (=Aedes detritus), as a potential vector of Japanese encephalitis virus","The U.K. has not yet experienced a confirmed outbreak of mosquito-borne virus transmission to people or livestock despite numerous autochthonous epizootic and human outbreaks of mosquito-borne diseases on the European mainland. Indeed, whether or not British mosquitoes are competent to transmit arboviruses has not been established. Therefore, the competence of a local (temperate) British mosquito species, Ochlerotatus detritus (=Aedes detritus) (Diptera: Culicidae) for transmission of a member of the genus Flavivirus, Japanese encephalitis virus (JEV) as a model for mosquito-borne virus transmission was assessed. The JEV competence in a laboratory strain of Culex quinquefasciatus (Diptera: Culicidae), a previously incriminated JEV vector, was also evaluated as a positive control. Ochlerotatus detritus adults were reared from field-collected juvenile stages. In oral infection bioassays, adult females developed disseminated infections and were able to transmit virus as determined by the isolation of virus in saliva secretions. When pooled at 7-21days post-infection, 13% and 25% of O.detritus were able to transmit JEV when held at 23 degrees C and 28 degrees C, respectively. Similar results were obtained for C.quinquefasciatus. To our knowledge, this study is the first to demonstrate that a British mosquito species, O.detritus, is a potential vector of an exotic flavivirus.",Y,,,,2015,"415,416"
"Sudeep, AB; Ghodke, YS; Gokhale, MD; George, RP; Dhaigude, SD; Bondre, VP",,JOURNAL OF VECTOR BORNE DISEASES,Replication potential and different modes of transmission of West Nile virus in an Indian strain of Culex gelidus Theobald (Diptera: Culicidae) mosquitoes,"Background & objectives: Culex gelidus mosquito, an important vector of Japanese encephalitis virus, has shown to transmit West Nile virus (WNV), Kunjin and Murray Valley encephalitis viruses experimentally. An attempt was, therefore, made to study the replication kinetics and vector competence of an Indian strain of Cx. gelidus to WNV. Methods: Mosquitoes were infected by both intrathoracic inoculation and oral feeding and studied the growth kinetics by determining the virus titre on different days post-infection (PI). Vector competence was studied by determining the presence of WNV in saliva on subsequent days PI. Horizontal transmission was determined by demonstrating infection in infant mice by bite of mosquitoes that were fed on viraemic mice previously. Vertical transmission was studied by screening progeny derived from infected mosquitoes. Trans-stadial transmission was determined by screening adult mosquitoes emerged from parenterally inoculated IV instar larvae. Results: The mosquito replicated WNV to 7log(10) TCID50/m1 on Day 8 PI and maintained the titre for 14 days. Virus dissemination to legs and salivary glands could be detected, but not to ovaries up to Day 10 PI. The mosquitoes picked up infection from viraemic blood and transmitted successfully to infant mice on subsequent feeding. Trans-stadial transmission also could be demonstrated. However, vertical transmission could not be demonstrated. Interpretation & conclusion: The replication potential, maintenance of WNV for prolonged periods and ability to transmit WNV experimentally makes the mosquito a serious threat to public health especially in the wake of active WNV activity in certain parts of India.",Y,,,,2014,417
"Turell, MJ; Dohm, DJ; Fonseca, DM",10.2987/14-6441R.1,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,COMPARISON OF THE POTENTIAL FOR DIFFERENT GENETIC FORMS IN THE CULEX PIPIENS COMPLEX IN NORTH AMERICA TO TRANSMIT RIFT VALLEY FEVER VIRUS,"Rift Valley fever virus (RVFV), a mosquito-borne virus, has been responsible for large outbreaks in Africa that have resulted in hundreds of thousands of human infections and major economic disruption due to loss of livestock and to trade restrictions. Culex pipiens was implicated as the principal vector of the Egyptian outbreak in 1977 that affected about 200,000 people. In the northern USA, Cx. pipiens occurs both as a mix of forms pipiens and molestus (i.e., US Culex pipiens) as well as pure Cx. pipiens form molestus, the latter mostly in underground locations such as sewers and basements. In order to understand the potential risk of spread of RVFV in the USA, we compared their relative abilities to transmit RVFV in the laboratory. After feeding on hamsters with high viremias, >10(9) plaque-forming units (PFU)/ml, both US Cx. pipiens and Cx. pipiens form molestus were highly susceptible to infection (similar to 80%) and about 20% of each form developed a disseminated infection. In contrast, when fed on a hamster with a moderate viremia, 10(7.5) PFU/ml, US Cx. pipiens were significantly (P < 0.001) more susceptible (84%) than were the pure form molestus (47%). Similarly, dissemination rates were significantly (P = 0.0261) higher in US Cx. pipiens (34%) than they were in pure Cx. pipiens form molestus (10%). These results underscore differences in vector competence between genetic forms in the Cx. pipiens complex but also indicate that if RVFV were to arrive in the USA, competent vectors abound in the highly urbanized Northeast.",Y,TBD,,,2014,"418,419"
"Quiner, CA; Parameswaran, P; Ciota, AT; Ehrbar, DJ; Dodson, BL; Schlesinger, S; Kramer, LD; Harris, E",10.1128/JVI.01822-14,JOURNAL OF VIROLOGY,Increased Replicative Fitness of a Dengue Virus 2 Clade in Native Mosquitoes: Potential Contribution to a Clade Replacement Event in Nicaragua,"The four dengue virus (DENV) serotypes (DENV serotype 1 [DENV-1] to DENV-4) are transmitted by Aedes aegypti and A. albopictus mosquitoes, causing up to 390 million DENV infections worldwide each year. We previously reported a clade replacement of the DENV-2 Asian-American genotype NI-1 clade by the NI-2B clade in Managua, Nicaragua. Here, we describe our studies of the replicative ability of NI-1 and NI-2B viruses in an A. aegypti cell line (Aag2) and A. aegypti mosquitoes reared from eggs collected in Managua. In coinfection experiments, several different pairs of NI-1 and NI-2B clinical isolates were used to infect Aag2 cells or blood-fed A. aegypti mosquitoes. Results consistently showed a significant replicative advantage of NI-2B over NI-1 viruses early after infection in vitro, and in mosquitoes, NI-2B viruses attained a higher replicative index than NI-1 isolates 3 to 7 days postinfection (dpi). At 7 dpi, NI-2B viruses displayed a significantly higher replicative index in legs and salivary glands; however, this advantage was lost by 14 and 21 dpi. We also found that the percentage of mosquitoes in which NI-2B viruses were dominant was significantly higher than that in which NI-1 viruses were dominant on day 7 but not at later time points. Taken together, these data demonstrate that clade NI-2B holds a replicative advantage over clade NI-1 early in infection that wanes at later time points. This early fitness advantage of NI-2B viruses over NI-1 viruses in the native vector, A. aegypti, suggests a shorter extrinsic incubation period for NI-2B viruses, which could have contributed to the clade replacement event in Managua. IMPORTANCE Dengue virus (DENV), one of the most medically important arthropod-borne viruses, is transmitted to humans by Aedes aegypti and A. albopictus mosquitoes in tropical and subtropical regions worldwide. Dengue epidemics continue to increase in frequency, geographic range, and severity and are a major public health concern. This is due to globalization, unplanned urbanization, and climate change, as well as host genetics and immune responses and viral genetic changes. DENV consists of four serotypes, in turn composed of genotypes and genetically distinct clades. What drives the frequent replacement of a previously circulating DENV clade by another is unclear. Here, we investigate the replicative fitness of two clades of DENV serotype 2 in Aedes aegypti cells and mosquitoes collected from the region where the viruses circulated and conclude that increased replicative fitness could have contributed to a DENV clade replacement event in Nicaragua. These findings provide insight into vector-driven evolution of DENV epidemics.",M,Confounding treatments ,,,2014,"420,421"
